objectid,number,name,address,latitude,longitude,status,bike_stands,available_bike_stands,available_bikes,bonus,banking,last_update,CreationDate,Creator,EditDate,Editor,x,y
1,7022,07022 - PONT DE L'ALMA,3 AVENUE BOSQUET - 75007 PARIS,48.8616405,2.30225034,OPEN,69,59,10,0,1,5/16/2013 6:56:42 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 6:57:39 PM,VotreNom,2.30225034417599,48.8616404995763
2,13055,13055 - LAGROUA,18 RUE MARIE ANDREE LAGROUA - 75013 PARIS,48.82859528,2.38022061,OPEN,61,43,17,0,1,5/16/2013 7:00:33 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:01:40 PM,VotreNom,2.3802206062661,48.8285952838574
3,2015,02015 - OPERA - CAPUCINES,25 RUE LOUIS LE GRAND - 75002 PARIS,48.87050894,2.33405446,OPEN,31,26,5,0,1,5/16/2013 7:03:51 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:04:39 PM,VotreNom,2.33405446193932,48.8705089372039
4,21704,21704 - REPUBLIQUE (VANVES),2 RUE DE LA REPUBLIQUE - 92170 VANVES,48.8217027,2.28539562,OPEN,25,0,25,0,1,5/16/2013 7:03:59 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:04:39 PM,VotreNom,2.28539562482843,48.8217026998931
5,31001,31001 - LAGNY (MONTREUIL),96 RUE DE LAGNY - 93100 MONTREUIL,48.8492303,2.42142994,OPEN,27,25,0,0,1,5/16/2013 6:57:54 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 6:58:39 PM,VotreNom,2.42142994000702,48.8492303008648
6,20131,20131 - REPOS,41 RUE DU REPOS - 75020 PARIS,48.85935852,2.38961314,OPEN,33,8,25,0,1,5/16/2013 7:04:40 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:05:41 PM,VotreNom,2.38961313668447,48.8593585235927
7,18048,18048 - PORTE DE LA CHAPELLE,29 BOULEVARD NEY - 75018 PARIS,48.89838502,2.36087735,OPEN,72,39,31,0,1,5/16/2013 7:05:08 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:05:41 PM,VotreNom,2.36087734922713,48.8983850226507
8,35005,35005 - GENERAL LECLERC (PANTIN),QUAI DE L'AISNE/AVENUE DU GENERAL LECLERC 93500 PANTIN,48.89571395,2.40057189,OPEN,27,13,14,0,1,5/16/2013 6:57:51 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 6:58:39 PM,VotreNom,2.40057189442728,48.8957139498245
9,13017,13017 - NATIONALE,167 RUE NATIONALE - 75013 PARIS,48.83252708,2.36235441,OPEN,33,27,6,0,1,5/16/2013 7:00:56 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:01:40 PM,VotreNom,2.36235441039215,48.832527083973
10,34010,34010 - DIDEROT 2 (SAINT OUEN),FACE 61-63 RUE DIDEROT- 93400 SAINT OUEN,48.91157046,2.33391013,OPEN,50,38,12,0,1,5/16/2013 7:04:20 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 7:04:39 PM,VotreNom,2.33391012712924,48.9115704593083
11,42704,42704 - ROSSEL (LE KREMLIN BICETRE),RUE ROSSEL / AVENUE DE LA CONVENTION - 94270 LE KREMLIN BICETRE,48.81201281,2.35697189,OPEN,25,24,1,1,1,5/16/2013 6:59:10 PM,5/15/2013 7:37:16 PM,VotreNom,5/16/2013 6:59:44 PM,VotreNom,2.3569718932875,48.812012814287
